2023-06-14,10:21:57,oloroso,IN,NONE
2023-06-14,10:22:14,oloroso,RETURNED BOOK,sampong ubo
2023-06-14,10:26:39,oloroso,SETTLED VIOLATION,NONE
2023-06-14,11:56:28,oloroso,OUT,NONE
2023-06-14,00:28:32,oloroso,IN,NONE
2023-06-14,00:28:38,oloroso,OUT,NONE
2023-06-14,21:40:54,First Name ,IN,NONE
2023-06-14,21:41:27,First Name ,OUT,NONE
2023-06-14,21:45:22,First Name,IN,NONE
2023-06-14,21:47:36,First Name,BORROWED BOOK,sampong ubo
2023-06-14,21:48:38,First Name,RETURNED BOOK,sampong ubo
2023-06-14,21:49:26,First Name,BORROWED BOOK,sampong ubo
2023-06-14,21:54:08,First Name,REQUEST BOOK,ano bang pwede
2023-06-14,21:55:43,First Name,OUT,NONE
2023-06-14,21:56:44,First Name,IN,NONE
2023-06-14,21:57:08,First Name,OUT,NONE
2023-06-14,21:58:05,First Name,IN,NONE
2023-06-14,21:58:09,First Name,OUT,NONE
2023-06-14,22:02:03,LibrarianADMIN,IN,NONE
2023-06-14,22:05:06,LibrarianADMIN,EDIT BOOK AUTHOR,FROM ( ako sino pa ba ) TO ( ako haha )
